clmn1,clmn2,clmn3,clmn4,clmn5,clmn6,clmn7,clmn8,clmn9,clmn10,clmn11,clmn12,clmn13,clmn14,clmn15,clmn16,clmn17,clmn18,clmn19,clmn20,clmn21,clmn22,clmn23,clmn24,lbl,Out_num
13,6,1.01245086,525.0,6,1,625.0,475.0,300.0,2.0,500.0,0.005,0,0,1,0,0,0,0,1,0,0,0,1,True,0.00093013005
10,3,3.771773392,500.0,2,4,475.0,375.0,200.0,3.0,600.0,0.04,1,0,0,0,0,0,0,1,0,1,0,0,True,1.35975e-08
6,5,0.924012551,562.5,3,4,412.5,412.5,100.0,1.0,100.0,0.025,0,0,1,0,0,0,1,0,1,0,0,0,True,1.707e-13
6,4,0.162030145,537.5,5,7,400.0,487.5,200.0,1.0,200.0,0.035,0,0,1,0,1,0,0,0,0,0,1,0,True,2.824e-08
10,4,4.828610152,437.5,1,2,575.0,537.5,300.0,4.0,800.0,0.05,1,0,0,0,1,0,0,0,0,0,0,1,True,1.392e-05
11,2,2.43285222,612.5,1,3,337.5,575.0,200.0,4.0,600.0,0.025,0,1,0,0,0,0,1,0,0,0,1,0,True,1.3079999999999998e-06
4,6,0.62917328,350.0,3,9,437.5,437.5,200.0,1.0,200.0,0.01,0,0,0,1,0,0,1,0,1,0,0,0,True,9.555e-06
10,9,1.024674012,425.0,6,2,575.0,612.5,200.0,3.0,500.0,0.045,0,1,0,0,0,1,0,0,1,0,0,0,True,2.054e-09
1,6,2.600897718,387.5,1,10,500.0,337.5,300.0,2.0,400.0,0.02,0,0,0,1,0,1,0,0,1,0,0,0,False,0.00378072805
13,2,0.608083357,450.0,8,1,412.5,312.5,300.0,2.0,500.0,0.04,1,0,0,0,1,0,0,0,1,0,0,0,True,4.7302499999999995e-09
9,8,6.083685803,325.0,5,2,475.0,462.5,400.0,3.0,800.0,0.035,0,1,0,0,0,0,0,1,0,1,0,0,False,0.0024407604
6,4,1.162186547,437.5,4,10,537.5,437.5,100.0,2.0,200.0,0.01,1,0,0,0,0,0,0,1,0,1,0,0,True,2.9282499999999997e-09
1,4,4.272084905,562.5,3,1,437.5,625.0,300.0,3.0,600.0,0.01,1,0,0,0,1,0,0,0,0,0,1,0,True,4.4525e-08
10,1,4.998776637,375.0,2,2,350.0,575.0,300.0,5.0,1000.0,0.02,0,0,1,0,1,0,0,0,1,0,0,0,False,0.024571595125
9,2,6.807452199,325.0,3,1,437.5,500.0,200.0,3.0,500.0,0.015,0,1,0,0,0,0,0,1,0,0,0,1,True,0.000357906
0,10,4.795912843,625.0,1,5,387.5,550.0,200.0,4.0,700.0,0.005,0,0,1,0,0,1,0,0,1,0,0,0,False,0.025164246675
5,13,1.591419095,625.0,4,7,537.5,312.5,300.0,2.0,400.0,0.05,0,1,0,0,0,0,1,0,0,0,0,1,True,2.6534999999999997e-10
0,4,2.829730881,337.5,8,1,375.0,437.5,200.0,3.0,400.0,0.05,0,1,0,0,0,0,0,1,0,1,0,0,True,3.4945e-08
13,1,2.9932977,575.0,5,1,412.5,375.0,200.0,3.0,400.0,0.02,0,0,0,1,1,0,0,0,0,0,0,1,False,0.005194587475
6,7,2.286965262,437.5,1,3,475.0,562.5,300.0,3.0,500.0,0.035,0,1,0,0,1,0,0,0,1,0,0,0,True,1.0160000000000001e-07
12,0,6.700041204,525.0,2,1,412.5,462.5,300.0,5.0,900.0,0.04,0,0,0,1,0,1,0,0,0,0,1,0,False,0.074015358375
5,2,0.812353172,375.0,6,5,625.0,375.0,200.0,2.0,300.0,0.05,1,0,0,0,0,0,0,1,1,0,0,0,True,6.53225e-09
5,10,4.50418552,587.5,1,1,575.0,512.5,300.0,4.0,800.0,0.01,0,0,0,1,0,0,0,1,1,0,0,0,False,0.032580838225
5,10,3.4223311,437.5,1,1,500.0,375.0,300.0,5.0,1100.0,0.025,1,0,0,0,0,0,1,0,0,0,1,0,True,7.229999999999999e-06
3,4,3.447388799,512.5,9,5,462.5,462.5,300.0,2.0,500.0,0.035,0,1,0,0,0,1,0,0,0,0,1,0,True,2.208e-06
13,5,3.32328326,387.5,5,6,537.5,437.5,300.0,3.0,600.0,0.005,0,1,0,0,0,0,1,0,0,0,1,0,True,9.48125e-06
3,0,3.987115538,550.0,1,1,575.0,450.0,300.0,5.0,900.0,0.025,0,0,1,0,0,0,1,0,1,0,0,0,False,0.0182514081
13,10,3.123744331,600.0,2,2,512.5,462.5,200.0,3.0,600.0,0.02,0,0,1,0,0,0,0,1,0,1,0,0,False,0.00515848685
0,5,4.502273685,550.0,4,2,525.0,462.5,300.0,4.0,600.0,0.01,0,0,0,1,0,1,0,0,0,0,1,0,False,0.0225945677749999
6,1,9.374045768,437.5,5,3,312.5,437.5,300.0,2.0,400.0,0.005,0,1,0,0,0,0,0,1,1,0,0,0,False,0.0027536634875
11,0,3.884399343,487.5,2,1,475.0,587.5,200.0,5.0,900.0,0.03,0,0,0,1,0,0,1,0,0,1,0,0,False,0.032105050575
2,11,1.661719994,425.0,2,4,450.0,437.5,300.0,4.0,800.0,0.02,0,1,0,0,0,1,0,0,0,0,1,0,True,4.29e-06
5,12,2.294394876,375.0,2,2,462.5,587.5,300.0,4.0,900.0,0.015,0,0,1,0,1,0,0,0,0,1,0,0,False,0.00757251875
9,8,3.606388106,575.0,2,1,550.0,625.0,400.0,2.0,600.0,0.035,0,0,1,0,0,0,0,1,0,1,0,0,False,0.0096925936
6,9,0.365453425,437.5,3,1,375.0,337.5,300.0,3.0,700.0,0.02,0,0,0,1,0,0,0,1,0,0,1,0,False,0.00555734355
6,11,1.698702054,562.5,6,1,325.0,425.0,300.0,5.0,1200.0,0.05,0,0,1,0,0,0,1,0,0,0,0,1,False,0.031671767825
6,9,6.70834072,562.5,2,2,337.5,425.0,300.0,4.0,800.0,0.01,0,0,0,1,1,0,0,0,0,1,0,0,False,0.045819031375
12,8,0.172433652,412.5,8,4,362.5,575.0,300.0,2.0,500.0,0.01,0,0,1,0,0,1,0,0,0,0,0,1,True,0.0001685177
6,10,4.470449355,600.0,1,1,400.0,375.0,300.0,5.0,1000.0,0.01,1,0,0,0,0,0,1,0,0,1,0,0,True,2.41475e-05
3,11,2.06136052,375.0,3,7,550.0,312.5,200.0,4.0,800.0,0.045,0,0,1,0,0,0,1,0,0,1,0,0,False,0.01199316755
12,13,1.896374875,450.0,1,1,450.0,425.0,200.0,2.0,400.0,0.005,0,0,0,1,0,0,0,1,0,1,0,0,False,0.0049725322125
7,10,3.143240568,325.0,4,1,337.5,625.0,300.0,3.0,700.0,0.01,1,0,0,0,0,0,0,1,0,0,1,0,True,1.27725e-08
0,6,3.36878537,337.5,3,5,312.5,475.0,200.0,4.0,600.0,0.01,0,1,0,0,0,0,1,0,0,0,1,0,True,7.3775e-06
11,10,2.965670556,625.0,1,3,487.5,362.5,200.0,4.0,700.0,0.035,0,1,0,0,1,0,0,0,1,0,0,0,True,2.272e-05
7,0,3.043667189,550.0,5,4,587.5,375.0,300.0,4.0,800.0,0.05,0,0,1,0,0,1,0,0,1,0,0,0,False,0.0237922525
13,7,2.605515768,400.0,3,1,450.0,325.0,300.0,3.0,800.0,0.005,0,0,0,1,0,1,0,0,0,0,1,0,False,0.0266187763375
0,7,3.375541829,362.5,2,2,500.0,375.0,300.0,4.0,800.0,0.02,0,0,1,0,0,0,0,1,0,0,0,1,False,0.010721292725
8,13,1.62221632,387.5,8,2,500.0,475.0,300.0,2.0,600.0,0.015,0,0,0,1,1,0,0,0,0,0,1,0,False,0.00555872175
11,1,4.725749194,562.5,3,2,600.0,462.5,200.0,5.0,700.0,0.04,0,1,0,0,0,0,0,1,0,0,0,1,True,0.00042641445
3,7,2.744913946,400.0,1,4,612.5,362.5,400.0,3.0,800.0,0.005,1,0,0,0,0,0,1,0,0,1,0,0,True,3.7925000000000004e-08
13,10,2.267812551,312.5,6,5,475.0,575.0,200.0,3.0,600.0,0.05,0,1,0,0,0,0,1,0,0,1,0,0,True,1.32675e-06
1,11,3.347257711,600.0,3,4,362.5,600.0,300.0,5.0,1000.0,0.025,1,0,0,0,0,0,1,0,0,0,0,1,True,2.286e-06
6,1,2.842000369,612.5,1,1,562.5,362.5,300.0,3.0,600.0,0.05,0,1,0,0,1,0,0,0,1,0,0,0,True,7.395e-06
9,5,4.216690106,625.0,1,2,437.5,500.0,300.0,4.0,900.0,0.01,1,0,0,0,0,0,0,1,0,1,0,0,True,5.5250000000000005e-06
9,13,0.204013895,387.5,8,4,450.0,625.0,200.0,1.0,200.0,0.03,1,0,0,0,0,0,0,1,0,0,1,0,True,2.9282499999999997e-09
6,8,4.192204508,550.0,1,1,362.5,325.0,300.0,3.0,500.0,0.04,0,1,0,0,0,0,1,0,1,0,0,0,True,1.53825e-05
1,0,0.824787139,412.5,10,1,537.5,337.5,100.0,1.0,100.0,0.005,0,0,0,1,0,1,0,0,1,0,0,0,True,5.8275e-09
1,2,0.040779618,525.0,6,10,600.0,550.0,100.0,1.0,100.0,0.02,1,0,0,0,0,1,0,0,0,1,0,0,True,2.47775e-09
11,9,1.151223009,625.0,4,2,312.5,412.5,200.0,3.0,500.0,0.005,0,1,0,0,0,1,0,0,1,0,0,0,True,2.442e-09
10,1,3.010613634,562.5,2,1,587.5,487.5,300.0,5.0,1000.0,0.045,0,0,0,1,0,0,0,1,0,1,0,0,False,0.05896487155
0,12,2.978695685,350.0,1,6,462.5,625.0,200.0,3.0,500.0,0.045,0,1,0,0,0,1,0,0,0,0,1,0,True,1.2545000000000002e-06
